Date,AQI,HCHO,NO2,CO,SO2,AOD,Temperature,DewPoint,Pressure,Wind_U,Wind_V
2023-01-01,252.0,0.0002640992752275244,8.906412404026795e-05,0.038223060062916925,0.000563880719709903,0.776,286.09280014038086,281.5462055206299,99590.96012369792,-0.03710301717122396,-0.3254559834798177
2023-01-02,401.0,,,0.05547579750416317,,,286.033997853597,281.1043275197347,99691.9140625,-0.6055107116699219,-0.2911853790283203
2023-01-03,413.0,,0.0002362713566980257,0.043899681795597265,,,284.5116551717122,280.5093587239583,99774.6328125,1.1371441682179768,-1.445334752400716
2023-01-04,372.0,0.00014032194629085132,0.00012752227547239736,0.04014601558445186,-5.163159982072754e-05,1.461,283.6756947835286,280.1238015492757,99793.05647786458,1.1773347457249959,-1.5932094653447468
2023-01-05,355.0,0.0004393747076390316,0.00010970656876447628,,-0.000751558749470542,,282.18938700358075,279.55131340026855,99893.02099609375,0.9761244058609009,-1.0098463296890259
2023-01-06,412.0,4.680477328929079e-05,0.0002497443390764188,0.043557889759522135,0.000289029551762537,0.725,280.5312042236328,278.3944314320882,99922.16324869792,0.49708449840545654,-0.9197291533152262
2023-01-07,385.0,0.0005486253648994033,0.00018436236132394178,0.03787781670687981,0.0004501022340262268,0.5,282.1454105377197,279.08078638712567,99666.03011067708,1.72460142771403,-1.0448206663131714
2023-01-09,491.0,,,,,0.59,285.03818639119464,281.1910915374756,99556.71272786458,0.6371569236119589,-0.8898109197616577
2023-01-10,420.0,0.00012349328608246885,0.00012059601431241747,0.038820169866068635,,0.406,285.54781341552734,281.3289025624593,99373.24072265625,1.7730696201324463,-1.4781176646550496
2023-01-11,337.0,0.0006048453506079739,0.00047394263674485013,,,0.768,286.4516716003418,282.96842130025226,98955.82014973958,-1.50514554977417,-0.07856241861979167
2023-01-12,372.0,0.0002792969266562604,0.00018446395866655616,0.04685307433189128,0.0003896972944411577,1.4815,288.3451449076335,284.4500420888265,98750.18831380208,-2.677644729614258,1.3950550556182861
2023-01-13,375.0,,,0.05048606917259942,,,287.73183759053546,285.53062438964844,98985.51611328125,-0.346293846766154,-0.40671368439992267
2023-01-14,355.0,0.00021574687707461606,0.00012196783427493145,0.04036364210412213,,0.718,284.7976989746094,278.95082410176593,99236.79557291667,2.6615611712137857,-1.7675355672836304
